sample_id,sample_alias,fun_experiment_id,bac_experiment_id,bioproject_id
fa1284671ab4,10317.000026421,NA,ERX1170146,PRJEB11419
97716f6254e9,10317.000026440,NA,ERX1170147,PRJEB11419
94ec9f7c9281,10317.000026611,NA,ERX1170158,PRJEB11419
762f48295fa1,10317.000026613,NA,ERX1170159,PRJEB11419
9986b0c19b29,10317.000027224,NA,ERX1170170,PRJEB11419
5e2b34eb478d,10317.000027281,NA,ERX1170174,PRJEB11419
7943956a6978,10317.000027315,NA,ERX1170182,PRJEB11419
b5e9de073ec3,10317.000027350,NA,ERX1170184,PRJEB11419
16f40e03dfa7,10317.000027573,NA,ERX1170187,PRJEB11419
6d8c7e7be484,10317.000027784,NA,ERX1170218,PRJEB11419
a95e887aa8c5,10317.000027786,NA,ERX1170219,PRJEB11419
82a4b464b49d,10317.000027787,NA,ERX1170220,PRJEB11419
a250e81f466e,10317.000027830,NA,ERX1170224,PRJEB11419
80147b967795,10317.000027888,NA,ERX1170228,PRJEB11419
e176709e9fde,10317.000028075,NA,ERX1170542,PRJEB11419
37e05e8b1020,10317.000028076,NA,ERX1170543,PRJEB11419
bf95a5b98c46,10317.000028077,NA,ERX1170544,PRJEB11419
6f11e5900a4a,10317.000028082,NA,ERX1170548,PRJEB11419
d3cbe6dec1c5,10317.000028089,NA,ERX2291407,PRJEB11419
2e96e684f5a4,10317.000028121,NA,ERX1170556,PRJEB11419
ba68581b3d4b,10317.000028129,NA,ERX1170557,PRJEB11419
fa6697f3b969,10317.000028136,NA,ERX1170559,PRJEB11419
5ab9fbe114c5,10317.000028169,NA,ERX2291410,PRJEB11419
8cbbc9e85b34,10317.000028170,NA,ERX1170565,PRJEB11419
e58919072714,10317.000028171,NA,ERX1170566,PRJEB11419
1c1d9b4ee41c,10317.000028194,NA,ERX1170569,PRJEB11419
a7f94efde68d,10317.000028224,NA,ERX1170572,PRJEB11419
27af48c8e3be,10317.000028239,NA,ERX1170575,PRJEB11419
ee89f7abf371,10317.000028249,NA,ERX1170576,PRJEB11419
a1164b2c10be,10317.000028250,NA,ERX1170577,PRJEB11419
14696e7dadb5,10317.000028259,NA,ERX1170578,PRJEB11419
03b835f69db3,10317.000028260,NA,ERX1170579,PRJEB11419
6131dc698d2c,10317.000028309,NA,ERX1170581,PRJEB11419
72b31b575900,10317.000028311,NA,ERX1170583,PRJEB11419
87a90cdd3a6a,10317.000028324,NA,ERX1170584,PRJEB11419
99104818ddb6,10317.000028439,NA,ERX1170587,PRJEB11419
8e1b85f3e6f3,10317.000028440,NA,ERX1170588,PRJEB11419
3893611e48b1,10317.000028543,NA,ERX1170596,PRJEB11419
25e0bcb1fd7f,10317.000028592,NA,ERX1321724,PRJEB11419
21a8dc7160ce,10317.000028594,NA,ERX1170600,PRJEB11419
0b5efb6494a9,10317.000028619,NA,ERX1170601,PRJEB11419
a781443d8d8c,10317.000028622,NA,ERX1170604,PRJEB11419
4e62702964d1,10317.000028647,NA,ERX1170605,PRJEB11419
4eaec271bf2d,10317.000028650,NA,ERX1321726,PRJEB11419
0b2ca74ece8f,10317.000028651,NA,ERX1170608,PRJEB11419
3bb72631a005,10317.000028653,NA,ERX1170609,PRJEB11419
1d23fccea240,10317.000028656,NA,ERX1170610,PRJEB11419
bfae701fc33f,10317.000028658,NA,ERX1170611,PRJEB11419
eebfb8729d5d,10317.000028680,NA,ERX1170233,PRJEB11419
08336157c3b9,10317.000028689,NA,ERX1170234,PRJEB11419
ed109342d049,10317.000028705,NA,ERX1170235,PRJEB11419
88c73a786d86,10317.000028733,NA,ERX1170237,PRJEB11419
cd843762425a,10317.000028778,NA,ERX1170244,PRJEB11419
9caaa1f341cb,10317.000028782,NA,ERX1170246,PRJEB11419
0a9f6629a4a0,10317.000028857,NA,ERX1170252,PRJEB11419
7830e6bfc250,10317.000028896,NA,ERX1170257,PRJEB11419
4d55564ac9a9,10317.000028903,NA,ERX1170259,PRJEB11419
ae7fc78580e6,10317.000028926,NA,ERX1170262,PRJEB11419
7f3302f3edc7,10317.000028930,NA,ERX1170265,PRJEB11419
ca7e2c3515de,10317.000029146,NA,ERX1170266,PRJEB11419
3dc74a064ead,10317.000029147,NA,ERX1170267,PRJEB11419
b572c0fcdb36,10317.000029173,NA,ERX1170272,PRJEB11419
b9edfdb00906,10317.000029175,NA,ERX1170273,PRJEB11419
f73eb455729b,10317.000029178,NA,ERX1170274,PRJEB11419
eb9dfa008db0,10317.000029192,NA,ERX1170277,PRJEB11419
3d5cedefa3df,10317.000029207,NA,ERX1170279,PRJEB11419
aec407fb9ffb,10317.000029300,NA,ERX1170672,PRJEB11419
e21f1e1d2c39,10317.000029313,NA,ERX2291423,PRJEB11419
f78973abc135,10317.000029329,NA,ERX1170681,PRJEB11419
9e2d16373058,10317.000029331,NA,ERX1170682,PRJEB11419
838527e5a2ad,10317.000029336,NA,ERX1170684,PRJEB11419
39c7da016856,10317.000029339,NA,ERX1170685,PRJEB11419
68d547d6f6f5,10317.000029349,NA,ERX1170688,PRJEB11419
97b1fce30fd8,10317.000029352,NA,ERX1322475,PRJEB11419
d502df4e5ae2,10317.000029355,NA,ERX1170691,PRJEB11419
d177498ed94a,10317.000029365,NA,ERX1170695,PRJEB11419
cd64232e10b7,10317.000029369,NA,ERX1170696,PRJEB11419
9dadd04572db,10317.000029371,NA,ERX1616503,PRJEB11419
ae65f605a475,10317.000029378,NA,ERX1321744,PRJEB11419
1b8fcfba5a22,10317.000029400,NA,ERX1170702,PRJEB11419
dc288a100f32,10317.000029427,NA,ERX1170704,PRJEB11419
339a34fbcfe4,10317.000029429,NA,ERX1321747,PRJEB11419
0ef27a39c9e7,10317.000029455,NA,ERX2291429,PRJEB11419
